,unique_id,winning_bid,hours_final,hours_final_nan,age_at_sale,age_at_sale_nan,bucket,bucket_bin,engine,tires,transmission,score
5364,ironplanet_1703726,0.10540609052412186,-6.73282429300883,0,-0.6666666666666666,0,"74"" Wide General Purpose Smooth Edge Bucket",1,,Cushion Tires,,45.38291897615172
3191,PW_DD1289,0.17281461933350872,-1.6292163323991198,0,-1.0,0,"Kubota 68""W bucket",1,Kubota V3307-CR four cylinder turbo diesel engine,Titan 12-16.5 NHS tires,Two speed hydrostatic transmission,55.96848318570612
5495,rbauction_10239624,0.21970666902392466,-0.1641636431799133,0,-0.6666666666666666,0,hyd Q/C bkt,1,,,,35.5737106320358
2563,PW_H1380,-0.07256623955150854,-0.769452496254063,0,-0.3333333333333333,0,"80""W bucket",1,"81 HP, Case 3.2L four cylinder turbo diesel engine",12-16.5 tires,Hydrostatic transmission,38.45382572530309
2883,PW_J8873,-0.3055924010504629,-0.4163233419278065,0,-0.3333333333333333,0,,0,John Deere 5030TT001 3.0L turbo diesel engine,12-16.5 tires,Two speed hydrostatic transmission,72.30575317978672
3955,rbauction_11179388,-0.24726775590351657,0.5331956806869701,0,0.0,0,bkt,1,,,,17.750116930073006
1897,rbauction_11067290,-0.21970666902392466,-0.1445481897256145,0,-0.3333333333333333,0,bkt,1,,,,27.511268174108068
2342,PW_A7180,-0.5378913790328381,-0.5650225628904997,0,0.6666666666666666,0,"73"" bucket with bolt-on edge",1,"27 HP, Kubota four cylinder diesel engine","12-16.5NHS tires, Tires need replaced",Hydrostat transmission,44.93087677869193
2075,rbauction_10273233,-0.27586912621808235,0.0,1,0.0,0,bkt,1,,,,39.7788628962677
5880,ironplanet_1641207,0.20439612075291436,-1.2072825131442972,0,-0.6666666666666666,0,"80"" General Purpose Smooth Edge Bucket",1,Ultra Low Sulfur Diesel,,,26.15330089741212
5314,ironplanet_1474509,-0.09519019911061033,-1.093063948936014,0,-0.6666666666666666,0,General Purpose Smooth Edge Bucket (installed post inspection) Ultra Low Sulfur Diesel,1,,Solid Tires,,26.392765887048753
5625,rbauction_10608173,-0.36878285015768775,-0.5824141296124079,0,-0.3333333333333333,0,bkt,1,,aperture tires,,15.966419232222743
968,rbauction_10673864,-0.09519019911061033,-0.7213964493526677,0,-0.6666666666666666,0,bkt,1,,,,23.16011920174769
2977,PW_K4997,-0.27586912621808235,-0.8990906839508301,0,0.3333333333333333,0,"Melroe 60Low 60""W low profile bucket",1,Caterpillar four cylinder turbo diesel engine,Samson 10-16.5NHS tires,Hydrostatic transmission,20.24216708231224
5989,ironplanet_1738874,0.08757358863328601,-0.9945541724729375,0,-0.6666666666666666,0,74” Wide General Purpose Smooth Edge Bucket,1,,,,45.84231966453654
3293,PW_DD8309,-0.7342559650537872,0.0,1,1.3333333333333333,0,"72""W bucket",1,Four cylinder diesel engine,12-16.5 tires,Hydrostatic transmission,35.770463680409705
368,rbauction_10609016,-0.21970666902392466,-0.6919655766791388,0,-1.0,0,,0,,solid tires,,24.976865598297916
3723,rbauction_11196525,-0.5545480135607281,-0.05167639964100707,0,-0.3333333333333333,0,bkt,1,,aperture tires,,32.53738183376285
718,rbauction_10828832,0.13985958538880894,0.7628568826168348,0,0.6666666666666666,0,bkt,1,,,,30.31970449017324
3062,PW_DB3442,-0.336529201143553,0.5860433176022719,0,0.0,0,Joystick bucket controls,1,Caterpillar four cylinder turbo diesel engine,12x16.5 tires,Two speed hydrostatic transmission,46.587788696882036
3684,ironplanet_1707989,0.38272804578826136,-1.6918774575675273,0,-0.6666666666666666,0,"74"" Wide General Purpose Smooth Edge Bucket",1,Ultra Low Sulfur Diesel,Cushion Tires,,37.977203176570356
420,rbauction_10625789,-0.16742067226840174,0.9867881756349741,0,0.3333333333333333,0,,0,,,,21.44222420153661
2213,PW_5872,-0.36878285015768775,-1.0139137826626599,0,-0.3333333333333333,0,"62"" toothed bucket",1,Case 4-390 74hp engine,12-16.5 tires,,50.55272509294946
4588,rbauction_10497808,0.3055924010504629,0.047635828637275904,0,0.0,0,bkt,1,,,,13.029197709468546
4557,bigiron_AF1277,0.3321862301556351,-0.4673391582960363,0,-0.6666666666666666,0,"80"" Bucket, Hydraulic Bucket Positioning",1,Kubota Engine,"17.7"" Tracks",,18.616630981307708
200,rbauction_10259799,-0.8011681962924699,0.6394728289558176,0,0.6666666666666666,0,bkt,1,,,,42.902639279596364
4091,rbauction_11250237,-0.36878285015768775,0.0,1,-0.6666666666666666,0,,0,,,,44.88530462648299
4064,rbauction_10495565,0.08757358863328601,0.0,1,0.3333333333333333,0,bkt,1,,,,40.940568963840384
2039,rbauction_10197975,-0.16742067226840174,0.0,1,0.3333333333333333,0,bkt,1,,,,42.92225442983336
2357,PW_D7992,-0.7342559650537872,0.28605208102072316,0,0.6666666666666666,0,"72"" bucket, Joystick bucket controls",1,"56 HP, Four cylinder diesel engine",12-16.5 NHS tires,Hydrostatic transmission,26.00628545692405
1028,rbauction_10607401,-0.5978653096258961,-0.014516783730334108,0,-0.3333333333333333,0,bkt,1,,,,46.116550286119725
5713,ironplanet_2017288,-0.8618282712179406,-5.767973082403777,0,0.0,1,General Purpose Bucket,1,,,,45.02631127746889
1373,rbauction_10785280,0.08757358863328601,-1.9998967295872918,0,-1.0,0,bkt,1,,,,37.24889337452639
179,rbauction_10835332,-0.5135733665429933,-0.40908411051803834,0,-0.3333333333333333,0,,0,,,,40.9609917111269
1628,rbauction_10078008,-0.5135733665429933,1.2429472148421115,0,0.0,0,,0,,,,24.726445282641464
1586,rbauction_10257681,-0.4747009299256124,0.036657617943446116,0,0.3333333333333333,0,bkt,1,,,,30.442140612829018
1938,rbauction_10457825,-0.27586912621808235,-0.7383952784733553,0,-0.6666666666666666,0,bkt,1,,solid tires,,23.655684015652252
1404,rbauction_10755312,-0.8011681962924699,0.5618630273257293,0,1.6666666666666667,0,bkt,1,,,,42.024339804841254
5224,rbauction_10356042,-0.6927197423427893,0.7834943397780919,0,0.3333333333333333,0,bkt,1,,,,20.20504736005409
2942,PW_K5554,-0.336529201143553,0.3164098802662902,0,0.0,0,"80""W bucket",1,Four cylinder turbo diesel engine,"18""W tracks",Hydrostatic transmission,21.039664083688546
4541,rbauction_10089189,0.24942994385630435,-5.0238376173537995,0,-1.0,0,,0,,,,52.470965938690206
2958,PW_L3914,-0.8618282712179406,0.17237785826484314,0,1.3333333333333333,0,"72""W bucket",1,Four cylinder diesel engine,265/70D16.5 tires,Hydrostatic transmission,33.71575768415767
3965,bigiron_EP6043,-0.7396117920332044,0.41892730249610155,0,0.0,1,,0,Isuzu 4 Cylinder Diesel Engine,Hydraulic Remote Hydraulic 12-16.5 Tires,,18.563621185849666
1751,rbauction_11084819,-0.1931128399187525,-0.1117083118517035,0,-0.3333333333333333,0,bkt,1,,cushion tires,,17.384879261613676
1946,rbauction_10118397,-0.36878285015768775,-0.05956488459014539,0,0.0,0,bkt,1,,,,36.81895474918428
5646,ironplanet_1790227,0.45273283052287816,-2.3091437404356214,0,-0.6666666666666666,0,"73"" General Purpose Smooth Edge Bucket",1,,,,34.08249702990388
1865,rbauction_11313369,-0.02924894348634055,0.13825691150138344,0,0.0,0,bkt,1,,,,29.988040115444164
407,rbauction_10095084,-0.14257102428612622,-0.23165514992056216,0,-0.3333333333333333,0,hyd Q/C bkt,1,,,,29.094799163486055
169,rbauction_10446345,-0.5978653096258961,0.1085920894441517,0,0.6666666666666666,0,bkt,1,,,,43.480883468629344
5702,rbauction_10685249,-0.402470456767821,-1.3851485204886638,0,-0.3333333333333333,0,bkt,1,,aperture tires,,24.13079891966664
4881,rbauction_11134207,-0.36878285015768775,-0.2823584243431683,0,-0.3333333333333333,0,bkt,1,,solid tires,,40.58949009337449
3239,PW_EK9552,-0.09519019911061033,-0.009928457161347269,0,0.3333333333333333,0,"77""W low profile bucket",1,John Deere five cylinder turbo diesel engine,14-17.5 tires,Hydrostatic transmission,36.72832351271751
3674,rbauction_11047139,-0.5978653096258961,0.2842682373070704,0,-0.3333333333333333,0,,0,,,,44.210129528226894
1060,rbauction_10574440,-0.16742067226840174,0.18045373512183052,0,0.6666666666666666,0,bkt,1,,,,39.575788925163
4506,rbauction_11142159,-0.5545480135607281,0.21525979081268584,0,0.3333333333333333,0,bkt,1,,,,34.12194478723356
2648,PW_H9012,-0.9416753548530545,0.0,1,0.6666666666666666,0,"71""W bucket, Bucket latch handle has been repaired",1,"Engine access door latch area damaged, Engine knocks, Engine shroud damaged, New Holland 450NC 5.0L four cylinder diesel engine",14-17.5 tires,Hydrostatic transmission,39.116033869600244
2674,PW_E6124,-0.6159101231481472,0.7743441021416254,0,1.0,0,"73""W bucket",1,"60 HP, Case 4-390 239 C.I.D. four cylinder diesel engine",Bossman Grip VI 12-16.5 tires,Hydrostatic transmission,31.73791262559513
1662,rbauction_10123371,-0.09519019911061033,-0.3501533730940051,0,-0.3333333333333333,0,bkt,1,,cushion tires,,18.205116683798803
544,rbauction_10890136,0.10540609052412186,0.0714671446513832,0,-0.6666666666666666,0,,0,,,,55.595809140661366
5995,ironplanet_1838490,-0.02924894348634055,-6.73282429300883,0,-1.0,0,"67"" Wide Grapple Bucket",1,,Solid Tires,,49.40176679950175
503,rbauction_10221704,0.18876986893083458,-0.9473386651075902,0,-0.6666666666666666,0,bkt,1,,,,37.07804380649016
1873,rbauction_10223979,-0.3055924010504629,0.0,1,1.6666666666666667,0,bkt,1,,,,29.454412936049604
3536,rbauction_10479192,-0.21970666902392466,-0.317666619531248,0,0.6666666666666666,0,bkt,1,,solid tires,,55.453418506375506
115,rbauction_10444413,-0.008484730537539065,0.0,1,-0.6666666666666666,0,,0,,,,28.356970801821685
4763,bigiron_DB2772,-0.6826818954181437,0.5518916605861672,0,1.3333333333333333,0,Bucket Will Lift 9-1/2',1,Diesel 50 HP Engine,Tires: 10X16.5,,44.332036611467885
